"Notes","County of Residence","County of Residence Code","Year","Year Code",Births,Average Birth Weight (grams)
,"Ocean County, NJ","34029","2018","2018",9015,3344.46
,"Ocean County, NJ","34029","2019","2019",9028,3336.20
,"Ocean County, NJ","34029","2020","2020",9316,3335.46
,"Ocean County, NJ","34029","2021","2021",10234,3333.87
,"Ocean County, NJ","34029","2022","2022",10225,3329.41
,"Ocean County, NJ","34029","2023","2023",10523,3335.81
,"Ocean County, NJ","34029","2024","2024",10817,3328.73
,"Passaic County, NJ","34031","2016","2016",6842,3220.40
,"Passaic County, NJ","34031","2017","2017",6790,3232.99
,"Passaic County, NJ","34031","2018","2018",6542,3219.19
,"Passaic County, NJ","34031","2019","2019",6394,3206.68
,"Passaic County, NJ","34031","2020","2020",6260,3203.29
,"Passaic County, NJ","34031","2021","2021",6253,3217.29
,"Passaic County, NJ","34031","2022","2022",6414,3201.48
,"Passaic County, NJ","34031","2023","2023",6272,3210.28
,"Passaic County, NJ","34031","2024","2024",6144,3209.64
,"Somerset County, NJ","34035","2016","2016",3251,3266.01
,"Somerset County, NJ","34035","2017","2017",3068,3267.12
,"Somerset County, NJ","34035","2018","2018",3210,3269.56
,"Somerset County, NJ","34035","2019","2019",3057,3282.96
,"Somerset County, NJ","34035","2020","2020",2927,3269.36
,"Somerset County, NJ","34035","2021","2021",3168,3285.75
,"Somerset County, NJ","34035","2022","2022",3275,3253.89
,"Somerset County, NJ","34035","2023","2023",3301,3255.55
,"Somerset County, NJ","34035","2024","2024",3222,3256.52
,"Sussex County, NJ","34037","2016","2016",1180,3344.27
,"Sussex County, NJ","34037","2017","2017",1213,3350.11
,"Sussex County, NJ","34037","2018","2018",1203,3352.11
,"Sussex County, NJ","34037","2019","2019",1209,3342.45
,"Sussex County, NJ","34037","2020","2020",1299,3378.36
,"Sussex County, NJ","34037","2021","2021",1375,3328.67
,"Sussex County, NJ","34037","2022","2022",1447,3301.23
,"Sussex County, NJ","34037","2023","2023",1433,3343.83
,"Sussex County, NJ","34037","2024","2024",1339,3306.85
,"Union County, NJ","34039","2016","2016",6756,3275.38
,"Union County, NJ","34039","2017","2017",6859,3281.08
,"Union County, NJ","34039","2018","2018",6777,3259.09
,"Union County, NJ","34039","2019","2019",6653,3259.39
,"Union County, NJ","34039","2020","2020",6369,3270.41
,"Union County, NJ","34039","2021","2021",6599,3270.41
,"Union County, NJ","34039","2022","2022",6703,3254.30
,"Union County, NJ","34039","2023","2023",6714,3245.63
,"Union County, NJ","34039","2024","2024",6548,3250.28
,"Warren County, NJ","34041","2016","2016",958,3277.69
,"Warren County, NJ","34041","2017","2017",935,3301.33
,"Warren County, NJ","34041","2018","2018",1020,3296.84
,"Warren County, NJ","34041","2019","2019",968,3285.32
,"Warren County, NJ","34041","2020","2020",1018,3288.84
,"Warren County, NJ","34041","2021","2021",1080,3276.10
,"Warren County, NJ","34041","2022","2022",992,3284.47
,"Warren County, NJ","34041","2023","2023",1059,3311.49
,"Warren County, NJ","34041","2024","2024",1076,3335.26
,"Unidentified Counties, NJ","34999","2016","2016",1479,3340.33
,"Unidentified Counties, NJ","34999","2017","2017",1477,3320.46
,"Unidentified Counties, NJ","34999","2018","2018",1433,3315.64
,"Unidentified Counties, NJ","34999","2019","2019",1476,3273.32
,"Unidentified Counties, NJ","34999","2020","2020",1401,3274.80
,"Unidentified Counties, NJ","34999","2021","2021",1428,3328.01
,"Unidentified Counties, NJ","34999","2022","2022",1485,3281.23
,"Unidentified Counties, NJ","34999","2023","2023",1380,3297.30
,"Unidentified Counties, NJ","34999","2024","2024",1360,3326.72
,"Allen County, OH","39003","2016","2016",1257,3229.75
,"Allen County, OH","39003","2017","2017",1244,3205.93
,"Allen County, OH","39003","2018","2018",1248,3234.87
,"Allen County, OH","39003","2019","2019",1268,3231.47
,"Allen County, OH","39003","2020","2020",1184,3244.77
,"Allen County, OH","39003","2021","2021",1216,3186.18
,"Allen County, OH","39003","2022","2022",1192,3193.94
,"Allen County, OH","39003","2023","2023",1205,3191.79
,"Allen County, OH","39003","2024","2024",1248,3213.96
,"Ashtabula County, OH","39007","2016","2016",1075,3241.44
,"Ashtabula County, OH","39007","2017","2017",1149,3252.58
,"Ashtabula County, OH","39007","2018","2018",1108,3279.16
,"Ashtabula County, OH","39007","2019","2019",1085,3254.88
,"Ashtabula County, OH","39007","2020","2020",1016,3262.73
,"Ashtabula County, OH","39007","2021","2021",1052,3272.11
,"Ashtabula County, OH","39007","2022","2022",1041,3261.84
,"Ashtabula County, OH","39007","2023","2023",971,3230.62
,"Ashtabula County, OH","39007","2024","2024",958,3264.37
,"Butler County, OH","39017","2016","2016",4452,3307.30
